"","Date","hour","Temperature","new.kWh"
"121","10/4/2016","1",15,154.10927794635
"122","10/4/2016","2",15,159.338247871128
"123","10/4/2016","3",14.4,136.044952564954
"124","10/4/2016","4",14.4,142.788417174206
"125","10/4/2016","4",14.4,142.788417174206
"126","10/4/2016","5",14.4,147.188897229197
"127","10/4/2016","6",14.4,231.230531218186
"128","10/4/2016","6",15,248.249627874904
"129","10/4/2016","7",15.6,312.527884470391
"130","10/4/2016","7",15.6,314.386212380595
"131","10/4/2016","8",16.1,327.433362192554
"132","10/4/2016","9",16.7,319.356148376812
"133","10/4/2016","9",16.7,319.255431114665
"134","10/4/2016","10",17.2,322.835637869282
"135","10/4/2016","10",16.7,349.121778196017
"136","10/4/2016","11",16.7,330.825557764755
"137","10/4/2016","12",16.1,354.688914317075
"138","10/4/2016","13",16.1,345.335297547394
"139","10/4/2016","14",15.6,318.602155255331
"140","10/4/2016","15",15.6,275.76941311386
"141","10/4/2016","16",14.4,298.806501162999
"142","10/4/2016","17",13.3,274.275937763492
"143","10/4/2016","18",12.8,234.613108755223
"144","10/4/2016","19",12.8,218.173150848589
"145","10/4/2016","20",12.2,198.732777214294
"146","10/4/2016","21",11.7,141.687025461445
"147","10/4/2016","22",11.1,131.023064839084
"148","10/4/2016","23",10.6,127.365069123046
"149","10/5/2016","0",10,129.216009809279
"150","10/5/2016","1",10,129.63812395526
"151","10/5/2016","2",10,133.200867930053
"152","10/5/2016","3",8.9,127.300074049503
"153","10/5/2016","4",9.4,136.198322703357
"154","10/5/2016","6",9.4,236.976677584769
"155","10/5/2016","6",9.4,236.880800554573
"156","10/5/2016","7",10.6,294.801819555605
"157","10/5/2016","8",12.8,317.384684704977
"158","10/5/2016","9",14.4,329.881784870851
"159","10/5/2016","10",15,353.123194688454
"160","10/5/2016","11",15,358.250691160468
"161","10/5/2016","12",15.6,361.541699335589
"162","10/5/2016","13",15,336.942792244363
"163","10/5/2016","14",15,318.799008375227
"164","10/5/2016","15",14.4,290.795958657651
"165","10/5/2016","16",13.9,299.04786572692
"166","10/5/2016","17",13.3,265.788120287255
"167","10/5/2016","18",12.8,235.135219112454
"168","10/5/2016","19",12.8,218.759513692359
"169","10/5/2016","20",12.8,202.804605266823
"170","10/5/2016","21",12.8,150.922084104528
"171","10/5/2016","22",12.2,145.515482101113
"172","10/5/2016","23",11.1,130.06031321357
"173","10/6/2016","0",11.1,114.722952045627
"174","10/6/2016","1",10.6,110.430017033852
"175","10/6/2016","2",10,107.686055179826
"176","10/6/2016","3",10.6,123.031978026623
"177","10/6/2016","4",10,126.934725948425
"178","10/6/2016","5",9.4,130.013520937156
"179","10/6/2016","6",9.4,227.835011820162
"180","10/6/2016","7",11.1,277.691444697795
"181","10/6/2016","8",12.8,301.088856120602
"182","10/6/2016","9",14.4,315.078057506988
"183","10/6/2016","10",15,320.524475309657
"184","10/6/2016","11",16.7,330.264997861972
"185","10/6/2016","12",17.2,333.610811255587
"186","10/6/2016","13",17.8,337.136128473051
"187","10/6/2016","14",18.9,321.667329093788
"188","10/6/2016","15",17.8,293.883088120396
"189","10/6/2016","16",17.8,300.880633550245
"190","10/6/2016","17",17.2,270.942595905239
"191","10/6/2016","18",16.1,211.620654423173
"192","10/6/2016","19",16.1,199.264398634552
"193","10/6/2016","20",15.6,190.301560609478
"194","10/6/2016","21",15,147.656683134758
"195","10/6/2016","22",13.9,123.913137125103
"196","10/6/2016","23",13.3,132.543615963168
"197","10/7/2016","0",12.2,97.1194620255433
"198","10/7/2016","1",13.3,108.646838323235
"199","10/7/2016","2",12.2,104.183994584486
"200","10/7/2016","3",13.9,108.92515284339
"201","10/7/2016","4",12.2,116.183138794235
"202","10/7/2016","5",12.2,120.019859387803
"203","10/7/2016","6",12.2,210.264647551512
"204","10/7/2016","7",13.9,273.049095173751
"205","10/7/2016","8",15.6,287.878891763231
"206","10/7/2016","9",17.8,305.49273205102
"207","10/7/2016","10",18.3,329.462410810747
"208","10/7/2016","11",18.9,329.160508268185
"209","10/7/2016","13",19.4,336.875950456926
"210","10/7/2016","14",18.9,300.611612120789
"211","10/7/2016","15",18.3,272.179597167521
"212","10/7/2016","16",18.3,293.045957607163
"213","10/7/2016","17",17.2,260.238956103406
"214","10/7/2016","18",17.2,218.094644504653
"215","10/7/2016","19",17.2,189.403142973972
"216","10/7/2016","20",16.7,183.745173050796
"217","10/7/2016","21",15.6,130.73895375361
"218","10/7/2016","22",15,113.923953336554
"219","10/7/2016","23",15,96.7547899741958
"220","10/8/2016","0",14.4,66.7887420873664
"221","10/8/2016","1",13.3,68.5712062343735
"222","10/8/2016","2",12.2,71.5786361616547
"223","10/8/2016","3",12.2,71.6386631658869
"224","10/8/2016","4",12.2,82.6760038021753
"225","10/8/2016","5",11.1,74.0315343110979
"226","10/8/2016","6",11.7,158.170364463861
"227","10/8/2016","7",11.7,222.28341297402
"228","10/8/2016","8",13.3,244.987173715753
"229","10/8/2016","9",14.4,251.13505017953
"230","10/8/2016","10",15,253.202156388157
"231","10/8/2016","11",17.2,276.23862332456
"232","10/8/2016","12",17.8,278.249949666196
"233","10/8/2016","13",17.8,268.914621909909
"234","10/8/2016","14",17.2,256.724499753955
"235","10/8/2016","14",17.8,258.122923980035
"236","10/8/2016","15",18.3,216.752476775753
"237","10/8/2016","16",18.3,222.551304360661
"238","10/8/2016","16",19.4,212.5322736686
"239","10/8/2016","17",19.4,190.084684290265
"240","10/8/2016","18",19.4,170.580902068995
"241","10/8/2016","19",19.4,147.712243721779
"242","10/8/2016","19",18.9,144.864862889612
"243","10/8/2016","20",18.9,143.074464360691
"244","10/8/2016","20",18.9,143.069624128741
"245","10/8/2016","21",18.3,98.7869907844344
"246","10/8/2016","22",18.3,89.98365285587
"247","10/8/2016","23",17.8,74.3170064629366
"248","10/9/2016","0",17.2,30.3897071983714
"249","10/9/2016","1",17.2,30.5716852305205
"250","10/9/2016","1",18.3,32.8031053877045
"251","10/9/2016","2",17.8,36.3493257091659
"252","10/9/2016","2",17.8,44.2224302949375
"253","10/9/2016","3",17.8,34.5847404978413
"254","10/9/2016","4",17.2,50.6438697507618
"255","10/9/2016","5",17.2,57.8788785514635
"256","10/9/2016","6",17.2,141.217211654816
"257","10/9/2016","6",16.1,135.668414497412
"258","10/9/2016","7",15.6,192.537999647869
"259","10/9/2016","7",14.4,185.365116890034
"260","10/9/2016","8",13.9,193.475838001498
"261","10/9/2016","9",13.9,208.160798010177
"262","10/9/2016","9",13.9,203.253943800257
"263","10/9/2016","10",12.8,208.308214074094
"264","10/9/2016","11",12.8,206.401456049125
"265","10/9/2016","12",12.2,203.036678722961
"266","10/9/2016","13",12.2,196.179152299912
"267","10/9/2016","14",11.7,178.983971545765
"268","10/9/2016","14",11.7,176.936112928255
"269","10/9/2016","15",11.7,154.65969451954
"270","10/9/2016","15",11.1,150.015152500686
"271","10/9/2016","16",11.1,159.089542466585
"272","10/9/2016","16",11.1,159.31006353773
