"","2.5 %","97.5 %"
"(Intercept)",132.169140562869,582.292230127688
"month2",-21.9924659220632,-8.4160667349048
"month3",-25.4709234302961,-11.6386666571795
"month4",-56.0899005852137,-39.8195245050894
"month5",-65.3294028070161,-46.3844831519131
"month6",-37.5391270900826,-15.412288882054
"month7",-3.65657965018339,19.6447371429531
"month8",6.76316389648443,29.8389388441545
"month9",-46.8713621408995,-24.8175601853372
"month10",-58.7410361724654,-40.6228560301367
"month11",-42.7753612449705,-27.9450839938711
"month12",-41.0912469004048,-26.3029007497557
"Humidity",-1.58514805985311,-0.659794617591712
"day2",27.5640434232686,48.8772501125984
"day3",11.2172067239907,32.721893410901
"day4",6.53146155027706,27.7508129080479
"day5",20.0339318987099,41.3607546928054
"day6",13.1607196964066,35.1073806603574
"day7",6.95574976398152,28.1093003857571
"day8",8.09177504377944,29.6926979763332
"day9",14.1362428957357,35.6064258029342
"day10",7.59837817919471,28.9125226489616
"day11",3.97227642022277,25.2791272826831
"day12",3.9417801486886,25.7165951007536
"day13",2.95879683556922,24.5474763748941
"day14",11.7102488821918,33.1142267444783
"day15",7.05255930663463,28.4799095056518
"day16",10.0783553725005,31.4178253128793
"day17",0.0660361178324411,21.5137277687464
"day18",6.69373789071198,28.3487865856749
"day19",6.27811468861603,27.6899125646818
"day20",-2.87313089896054,18.7321122491524
"day21",-2.23463944217199,19.4538283560847
"day22",-3.06298187067372,18.562252198369
"day23",0.78811593361522,22.2930376432827
"day24",3.0689971494415,24.5039818270496
"day25",-7.64168263107408,14.0407827286107
"day26",-5.33076413370924,16.4406031770003
"day27",-4.08336462685102,17.680788869332
"day28",0.988361093095227,22.6344397409031
"day29",-13.2001584794703,8.54078981659902
"day30",4.51048884507147,26.1479699362242
"day31",-12.5163082880613,12.3325604889944
"hour1",-8.83279780706063,9.19212408427603
"hour2",-7.32039014096636,10.8312668148934
"hour3",-7.47469541751463,10.9092422524315
"hour4",1.76049850132056,19.8500001892734
"hour5",9.0082577402844,27.2686423991875
"hour6",92.2719926368885,110.68620349637
"hour7",147.848224663769,166.432873310165
"hour8",162.237432630227,180.679455117633
"hour9",167.64551565173,186.245876630473
"hour10",167.991867615791,186.863481864357
"hour11",165.662433905512,184.756887756563
"hour12",166.75016237197,186.055226604146
"hour13",157.385917335595,176.539844968567
"hour14",138.1617768167,157.444173565768
"hour15",113.932636284879,133.206833641632
"hour16",123.3109595097,142.418936461543
"hour17",96.7322419353618,115.642962499067
"hour18",63.7036963301223,82.7061422562212
"hour19",51.7428323747941,70.5022608990668
"hour20",50.2530540599129,68.5979455396812
"hour21",-1.59857213871804,16.6845294137218
"hour22",-7.73722262101324,10.857370807011
"hour23",-9.70257423714206,8.83973869060767
"DayofWeek1",89.4614695379294,99.7297231390119
"DayofWeek2",99.7579586428802,110.097000164846
"DayofWeek3",95.9003552762424,106.140580145464
"DayofWeek4",93.9176205635359,104.212495255767
"DayofWeek5",82.4906614020599,92.7203814468753
"DayofWeek6",39.2809401903896,49.5856114551563
"Weekday1",NA,NA
"ConditionsFog",-17.7192966981261,20.1947382510056
"ConditionsHeavy Rain",-26.2235926050095,20.2520478409548
"ConditionsHeavy Snow",-90.057307068915,36.9957126718154
"ConditionsIce Pellets",-98.9019866133749,55.6612830763497
"ConditionsLight Drizzle",-17.3753547381193,18.1653326647571
"ConditionsLight Ice Pellets",-53.1954823059244,56.1312232458041
"ConditionsLight Rain",-6.81072531382883,9.24726862369524
"ConditionsLight Snow",2.6230308848824,23.6530924177323
"ConditionsLight Thunderstorms and Rain",26.7780570496686,152.602323795515
"ConditionsMostly Cloudy",-4.16693642922409,6.31608266116921
"ConditionsOvercast",-1.25187820545911,9.5206214541053
"ConditionsPartly Cloudy",1.85161577322312,12.5673217976426
"ConditionsRain",-7.92329698533338,18.9368988950953
"ConditionsScattered Clouds",4.83806381699612,15.5622816738195
"ConditionsSnow",-37.5718331785219,20.17870817143
"Peakhour1",NA,NA
"Temperature",-1.4905527803746,0.394448410477853
"Dew_PointF",0.554844836726029,2.58561977608989
"Sea_Level_PressureIn",-16.5195963590189,-2.15074199840674
"VisibilityMPH",-0.0103073948317976,0.00507363710392106
"Wind_SpeedMPH",-0.00979354681942902,0.00558464947144349
"WindDirDegrees10",-8.5957677380484,15.2223873902854
"WindDirDegrees20",-8.07147408716781,16.1012989635683
"WindDirDegrees30",-9.34194445449906,16.8811497278989
"WindDirDegrees40",-6.58163767009024,21.0543875349457
"WindDirDegrees50",-7.53189698929892,18.418731560315
"WindDirDegrees60",8.57234682130732,35.3195716913766
"WindDirDegrees70",17.5901410891957,40.7964143381159
"WindDirDegrees80",4.31965697668223,27.2125775827519
"WindDirDegrees90",-0.753669138835015,25.3803433626402
"WindDirDegrees100",5.15099230885804,28.0623474426547
"WindDirDegrees110",6.61383232411055,29.5360051961628
"WindDirDegrees120",-1.33634349212714,22.7920824460134
"WindDirDegrees130",-5.21431747715535,19.4809017086515
"WindDirDegrees140",-5.3599605169964,22.2134767061962
"WindDirDegrees150",-20.1218257573485,11.5711713210298
"WindDirDegrees160",-9.76380911786835,18.3919638206828
"WindDirDegrees170",-10.5685956208748,15.2196668367647
"WindDirDegrees180",-9.78871699303166,12.6403260377628
"WindDirDegrees190",0.358975241580488,19.9344605118732
"WindDirDegrees200",-13.3432020422183,6.50686414726887
"WindDirDegrees210",-9.97906424231542,9.19699347368822
"WindDirDegrees220",-9.63058461041244,8.5381523654906
"WindDirDegrees230",-1.92911785916505,17.9767148695893
"WindDirDegrees240",-16.3282888384691,5.3045743474243
